Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%],,,problem_flag
30:28.1,11,,,,,,,,,,,,0
30:28.2,11,98,,,,,,,,,,,0
30:28.3,11,98,0,,,,,,,,,,0
30:28.4,11,98,0,0,,,,,,,,,0
30:28.5,11,98,0,0,101,,,,,,,,0
30:28.6,11,98,0,0,101,0,,,,,,,0
30:28.7,11,98,0,0,101,0,88.6,,,,,,0
30:28.7,11,98,0,0,101,0,88.6,-1,,,,,0
30:28.8,11,98,0,0,101,0,88.6,-1,14.5,,,,0
30:28.9,11,98,0,0,101,0,88.6,-1,14.5,14.5,,,0
30:29.0,11,98,0,0,101,0,88.6,-1,14.5,14.5,,,0
30:29.1,11,98,0,0,101,0,88.6,-1,14.5,14.5,,,0
30:29.2,11,98,0,0,101,0,88.6,-1,14.5,14.5,,,0
30:29.3,11,98,0,0,101,0,88.6,-1,14.5,14.5,,,0
30:29.4,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:29.5,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:29.6,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:29.6,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:29.7,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:29.8,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:29.9,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.0,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.1,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.2,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.3,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.4,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.5,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.5,11,98,0,0,100,0,88.6,-1,14.1,14.5,,,0
30:30.6,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:30.7,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:30.8,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:30.9,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:31.0,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
30:31.1,11,98,0,0,100,0,88.6,-1,14.5,14.5,,,0
